EVA #,Country,Crew,Vehicle,Date,Duration,Purpose
222,USA,Andrew Feustel   Greg Chamitoff,STS-134/ULF6,05/20/2011,6:19,"ISS based EVA.  Retrieved MISSE 7.  Installed MISSE 8, light on S3, stbd SARJ cover and port truss NH3 jumper (for radiator leak topoff). Vented N2 from port NH3 servicer lines and disconnected line across SARJ for overnight motions.  Mechanically installed 2 payload wireless antennas on Lab, but did not finish connecting all cables under MMOD shields due to suit CO2 transducer failure that shortened task time.  Setup NH3 vent tool bag for next EVA. EV2 biomed data lost early and topped off suit O2 due to high metabolic use rate."
223,USA,Andrew Feustel   Mike Fincke,STS-134/ULF6,05/22/2011,8:07,"ISS based EVA.  Reconnected fill line, refilled P6 radiator NH3, vented refill lines and disconnected line across SARJ.  Did suit solar bakeout due to suspected NH2 leak from disconnect. Lubricated 1/3 of port SARJ (lost 1 bolt & 3 washers from joint covers, one cover returned to airlock due to too few remaining bolts) and SPDM end effector.  Installed SPDM camera cover and 2 stbd radiator grapple bar stowage beams"
224,USA,Andrew Feustel   Mike Fincke,STS-134/ULF6,05/25/2011,6:54,"ISS based EVA.  Installed FGB PDGF/stand, video signal conditioner and a portion of associated cables.  Installed cables for backup power from US to Russian segment.  Finished installing cables under MMOD shields for 2 payload wireless antennas.  Installed thermal blanket on airlock O2 tank grapple fixture.  Infrared video of AirForce aerogel thermal insulation experiment.  Std photos of FGB PDGF and nearby FGB thrusters.  Resecured velcro of loose thermal insulation on external spare.  Antifog temporarily irritated EV1 eye "
225,USA,Mike Fincke    Greg Chamitoff,STS-134/ULF6,05/27/2011,7:24,ISS based EVA.  Permanently stowed orbiter inspection boom on ISS to expand future EVA/robotic reach for maint.  Removed P6 PDGF and installed on orbiter boom in place of EFGF to enable SSRMS handling.  Released expandable diam fasteners of spare SPDM arm.  EV2 topped off suit O2.  Took photos of DOD experiments.
226,USA,Ron Garan           Mike Fossum,ISS-Incr 28 during STS-135/ULF7,07/12/2011,6:31,"ISS based EVA.  Transfered failed 1400lb pump module from ISS to Shuttle for return.  Transfered GSFC's satellite robotic refueling demo unit from Shuttle to ISS.  Add MISSE 8's ORMATE optical mirror experiment to ISS. As getaheads, installed PMA3 thermal cover, repositioned FGB PDGF's obstructing ground wire under thermal insulation and retrieved cutter for next Russian EVA"
227,USA,Sunita Williams        Akihiko Hoshide ,ISS-Incr 32,08/30/2012,8:17,ISS based EVA.  Installed 1 of 2 power cables for future MLM use.  Removed and stowed failed MBSU.  Unable to install new MBSU and left it tied down. Contaminated sublimator plate reduced cooling at end of EVA and led to suit declared no-go for future
228,USA,Sunita Williams        Akihiko Hoshide ,ISS-Incr 32,09/05/2012,6:28,"ISS based EVA.  Removed MBSU after releasing alignment sensitive bolt.  Photographed, inspected, cleaned and lubricated mechanical bolts and receptacles.  Ran spare bolt in and out of receptacle to smooth threads.  Using basic manual wrench for alignment touch, MBSU was bolted down.  Failed SSRMS camera replaced."
229,USA,Sunita Williams        Akihiko Hoshide ,ISS-Incr 32,11/01/2012,6:38,Bypassed coolant system ammonia leak with jumper connections and backup radiator deployment.  Inspected solar array joint for cause of recent increase in friction.
230,USA,Chris Cassidy        Tom Marshburn,ISS Incr-35,05/11/2013,5:31,Replaced P6 truss pump flow control system box due to leak in coolant system.  Stowed old unit.  Performed precautionary ammonia bakeout.
231,USA,Chris Cassidy        Luca Parmitano ,ISS Incr-36,07/09/2013,6:07,"Replaced failed Ku antenna avionics.  Retrieved 2 materials exposure experiments.  Took photos of contaminated radiator of AMS.  Installed 2 radiator grapple bars.  Routed MLM power cable to FGB.  Removed failed camera of mobile transporter.  Installed PMA2 MMOD cover, Z1 bypass jumper power cables and MLM data cable.  Cleared ground wire obstructing FGB PDGF"
232,USA,Chris Cassidy        Luca Parmitano ,ISS Incr-36,07/16/2013,1:32,EVA terminated early due to free water in EV2's helmet.  Completed install of Z1 bypass jumper cable and FGB PDGF data cable.  Partially routed MLM data cable.
233,Russia,Alexei Leonov,Voskhod 2,,0:12,"WorldÂs first EVA, Berkut umbilical suit, Volga inflatable airlock.  Had to partially reduce suit pressure to turnaround in airlock and close hatch"
234,Russia,Aleksei Yeliseyov        Yevgeni Khrunov,Soyuz 4&5,,0:37,"New airlock, Yastreb self-contained life support suit, vehicle-vehicle EVA crew transfer.  Lost camera"
235,Russia,Victor Lazerov            Oleg Makarov,Soyuz 12,,0:00,New Orlan D suits checked out inside cabin
236,Russia,Yuri Romanenko    Georgi Grechko,Soyuz 26    Salyut 6,,1:28,Docking unit inspection. Tested new Orlan D suits.  G. saves R. from untethered loss out of airlock.  Both always attached via umbilicals??
237,Russia,Vladimir Kovalyonok     Alexandr Ivanchenkov ,Soyuz 29      Salyut 6,07/29/1978,2:05,"Replace scientific samples, test new suits"
238,Russia,Vladimir Lyakhov       Valeri Ryumin,Soyuz 32       Salyut 6,08/15/1979,1:23,"Free damaged/jammed 10m diameter KRT-10 antenna with cable cutters, forked stick and boot"
239,Russia,Anatoli Berezovsky      Valentin Lebedev,Soyuz T-5     Salyut 7,07/30/1982,2:33,"Replace scientific equipment, remove ISTOK-2 exposed materials/structure.  Improved Orlan D suit used."
240,Russia,Vladimir Lyakhov     Alexandr Alexandrov ,Soyuz T-9       Salyut 7,,2:49,"After in-cabin improvised repair of damaged suit leg bladder using aluminum ring and rubber, installed one solar array addition"
241,Russia,Vladimir Lyakhov     Alexandr Alexandrov ,Soyuz T-9       Salyut 7,,2:55,Install second solar array addition
242,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,04/23/1984,4:15,"Place tool boxes, equipment, portable ladder.  Use pnuematic punch & cutter to get thru station skin.   "
243,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,04/26/1984,5:00,"Install pipe/valve, purge and leak check manfold"
244,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,04/29/1984,2:45,"Add pipe, leak check, cover with blanket"
245,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,05/04/1984,2:45,Continue leaky propellant line repair/replace
246,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,05/18/1984,3:03,Install solar array additions (2).  Jettison boxes
247,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-10     Salyut 7,08/08/1984,5:00,Remove thermal cover w/ special tool.  Seal leaky propellant oxidizer pipe with pinching device.  Cut  free & bring in solar array section
248,Russia,Svetlana Savitskaya   Vladimir Dzhanibekov,Soyuz T-12      Salyut 7,07/25/1984,3:34,"First female EVA.  Welding, cutting, soldering, metal spraying with Paton Institute tool"
249,Russia,Vladimir Dzhanibekov    Victor Savinykh,Soyuz T-13      Salyut 7,,4:58,"Install solar array addition (2), install French ISTOK-EM micro-meteroid collectors, test new Orlan DM suit"
250,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-15       Salyut 7,05/28/1986,3:40,Ferma-Postroite 15m truss deploy/stow.  Install Mayak optical instrument.  Retrieve ISTOK-EM material samples.  Test new Orlan DM suits
251,Russia,Leonid Kizim          Vladimir Solovyov,Soyuz T-15       Salyut 7,05/31/1986,5:01,Ferma-Postroite 15m truss deploy after installing vibration measurement unit. Complete Mayak deploy manually.  Weld truss joints.  
252,Russia,Yuri Romanenko      Alexandr Laveykin,Soyuz TM-2     Mir,04/11/1987,3:39,Debris removed to restore docking between Kvant and Mir modules.  Robot arm temporarily increased distance between Kvant & Mir for manual debris access.  L. tried low suit P reg position which did not immediately stabilize
253,Russia,Yuri Romanenko      Alexandr Laveykin,Soyuz TM-2     Mir,06/12/1987,1:53,Assembly of modified solar arrays
254,Russia,Yuri Romanenko      Alexandr Laveykin,Soyuz TM-2     Mir,06/16/1987,3:15,Assembly of modified solar arrays
255,Russia,Vladimir Titov          Musa Manarov,Soyuz TM-4    Mir,,4:10,"Disassemble modified arrays, install test arrays"
258,Russia,Alexandr Volkov          Jean-Louc Chretien,Soyuz TM-7      Mir ,,5:57,French ERA truss experiment deploy and jettison.  Deploy Enchantillon materials experiment
259,Russia,Alexandr Viktorenko   Alexandr Serebrov,Soyuz TM-8     Mir ,01/08/1990,2:57,Install 2 star trackers on Kvant 1.  Remove MMK2 panel from base block
285,Russia,Valeri Tsibliyev      Alexandr Serebrov,Soyuz TM-17    Mir 16,09/16/1993,4:19,"Install stowed Rapana small truss on Kvant1.  Install material samples (Indikator, Plenka5, Strakhovka)"
260,Russia,Alexandr Viktorenko   Alexandr Serebrov,Soyuz TM-8     Mir ,01/11/1990,2:58,"Kvant 1 science installed (Arfa-9, SKK-1, SKK-3), ERA supports disassembled, docking system hatch relocation as prep for Kristall.  Retrieve Enchantillon experiment"
261,Russia,Alexandr Viktorenko   Alexandr Serebrov,Soyuz TM-8     Mir ,01/26/1990,3:02,"MMU mooring post/winch installed, Atlas TV and Ferrer/Daneo science installed, solar array fasteners inspected, checkout of Kvant2 airlock and new Orlan DMA w/o umbilical"
262,Russia,Alexandr Viktorenko   Alexandr Serebrov,Soyuz TM-8     Mir ,,4:59,Checkout Kvant 2 airlock & new Orlan DMA.  MMU flown tethered for 40 min to 33m.  
263,Russia,Alexandr Viktorenko   Alexandr Serebrov,Soyuz TM-8     Mir ,,3:45,Checkout Kvant 2 airlock & new Orlan DMA.  MMU flown tethered for 93 min to 45m.  SPIN-6000 rad sensor on MMU
264,Russia,Anatoli Solovyov    Alexandr Balandin,Soyuz TM-9       Mir ,07/17/1990,7:00,"Reattach Soyuz thermal insulation blanket, Kvant 2 airlock hatch damaged.  Ingress into backup airlock of Kvant2"
265,Russia,Anatoli Solovyov    Alexandr Balandin,Soyuz TM-9       Mir ,07/26/1990,3:52,Soyuz repair access ladder stowed.  Kvant 2 airlock hatch inspected and forced closed
266,Russia,Gennady Manakov    Gennady Strekalov,Soyuz TM-10    Mir ,10/29/1990,3:05,"Kvant 2 airlock hatch repair (remove insulation, temp fix to hinge), dismount ATLAS TV camera"
267,Russia,Victor Afanasyev     Musa Manarov,Soyuz TM-11       Mir ,01/07/1991,5:19,Kvant 2 airlock hatch hinge replacement
268,Russia,Victor Afanasyev     Musa Manarov,Soyuz TM-11       Mir ,01/23/1991,5:34,Cargo transfer boom installed on core module (using bolt hole punch).  Ferrer science retrieved
269,Russia,Victor Afanasyev     Musa Manarov,Soyuz TM-11       Mir ,01/26/1991,6:19,Truss installation for solar arrays on Kvant-1.  Install Kurs reflectors.  Accidental damage to Kurs
270,Russia,Victor Afanasyev     Musa Manarov,Soyuz TM-11       Mir ,04/25/1991,3:34,Inspect damaged Kurs antenna on Kvant-1.  Install repaired ATLAS TV camera.  Test thermo mechanical joints of Sofora truss
271,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,06/25/1991,4:58,Repair Kvant1 Kurs antenna.  Connect ATLAS TV connectors.  Test thermo mechanical joints of Sofora truss
272,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,06/28/1991,3:24,Install TREK radiation exp.  Install scanning TV camera for EVA monitoring
273,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,07/15/1991,5:56,Transfer Sofora 14.5m truss mounting platform to Kvant1
274,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,07/19/1991,5:28,Assemble Sofora 14.5m truss (sections 1-3)
275,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,07/23/1991,5:42,Assemble Sofora 14.5m truss (sections 4-14)
276,Russia,Sergei Krikalev         Anatoli Artsebarsky,Soyuz TM-12      Mir ,07/27/1991,6:49,Assemble and elevate Sofora 14.5m truss (sections 15-17).  A. helmet fogged over forcing guide down truss by K.  Jettison old suit
277,Russia,Alexandr Volkov      Sergei Krikalev,Soyuz TM-13     Mir ,,4:13,"V. suit cooling sublimator failed so must stay on umbilical.  Base block solar panel section collected.  Material experiments deployed and retrieved on Kvant2 (Sprut, SKK, DankoM, Plenka)"
278,Russia,Alexandr Viktorenko      Alexandr Kaleri,Soyuz TM-14    Mir ,07/08/1992,2:03,Kvant 2 gyrodyne inspected after insulation blankets cut.  Test EVA binoculars
279,Russia,Anatoli Solovyov      Sergei Avdeyev,Soyuz TM-15   Mir ,,3:56,Prepare 700kg thruster box for Sofora truss.  Install truss hinge lock
280,Russia,Anatoli Solovyov      Sergei Avdeyev,Soyuz TM-15   Mir ,,5:08,Install thruster control cables on Sofora truss.  Attach truss to thruster box mounted on Progress
281,Russia,Anatoli Solovyov      Sergei Avdeyev,Soyuz TM-15   Mir ,09/11/1992,5:44,Install thruster box on Sofora truss and deploy to ops pos
282,Russia,Anatoli Solovyov      Sergei Avdeyev,Soyuz TM-15   Mir ,09/15/1992,3:33,Move Kurs antenna on Kristall.  Retrieve science
283,Russia,Gennady Manakov     Alexandr Poleshchuk,Soyuz TM-16     Mir 15,04/19/1993,5:25,"Relocated solar array control base from Kristall to Kvant-1.  Vent problem in 1 suit, crane handle lost"
284,Russia,Gennady Manakov     Alexandr Poleshchuk,Soyuz TM-16     Mir 15,06/18/1993,4:32,Relocated second solar array base from Kristall to Kvant-1
286,Russia,Valeri Tsibliyev      Alexandr Serebrov,Soyuz TM-17    Mir 16,09/20/1993,3:13,Deploy Rapana small truss with material samples 
287,Russia,Valeri Tsibliyev      Alexandr Serebrov,Soyuz TM-17    Mir 16,09/28/1993,1:51,Inspect for Perseid meteor shower damage.  Place Danko-M construction materials for exposure.  Retrieve one TREK panel.  Cooling system failure in T's suit shortens EVA
288,Russia,Valeri Tsibliyev      Alexandr Serebrov,Soyuz TM-17    Mir 16,,0:37,Exterior inspections started.  SKK science deployed.  O2 failure in S's suit stops work
289,Russia,Valeri Tsibliyev      Alexandr Serebrov,Soyuz TM-17    Mir 16,,4:12,"Complete Panorama exterior inspections, discard used Orlan suit"
290,Russia,Yuri Malenchenko    Talgat Musabeyev ,Soyuz TM-18     Mir 17,,5:05,"Inspect Progress docking system, prepare base for 2nd cargo boom (with hole punch), material science deployed/retrieved (Platan 4/5, SKK)"
291,Russia,Yuri Malenchenko    Talgat Musabeyev ,Soyuz TM-18     Mir 17,09/13/1994,6:05,Inspect Kristall solar arrays before retraction/move to Kvant-1.  Tighten restraint bolts for Sofora and solar array bases.  Mount amateur radio antenna.  Retrieve Rapana science samples.  
292,Russia,Vladimir Dezhurov      Gennady Strekalov,Soyuz TM-19      Mir 18,05/12/1995,6:08,Install electrical cables and adjust solar array actuators on Kvant-1.  Practice folding 3 solar array panels on Kristall
293,Russia,Vladimir Dezhurov      Gennady Strekalov,Soyuz TM-19      Mir 18,05/17/1995,6:50,"Fold one Kristall solar array, move it to Kvant-1 using cargo crane, tie off temporarily"
294,Russia,Vladimir Dezhurov      Gennady Strekalov,Soyuz TM-19      Mir 18,05/22/1995,5:15,Fold all but 10 feet of second Kristall solar array and finish installing other array on Kvant-1
295,Russia,Vladimir Dezhurov      Gennady Strekalov,Soyuz TM-19      Mir 18,05/29/1995,0:21,Move base block docking port for Kristall move
296,Russia,Vladimir Dezhurov      Gennady Strekalov,Soyuz TM-19      Mir 18,06/16/1995,0:23,Move base block docking port in prep for Spektr docking
297,Russia,Anatoly Solovyev     Nikola Budarin,Soyuz TM-20      Mir 19,07/14/1995,5:34,"Cut launch restraint of Spektr solar array with U.S. tool, resecure amateur radio antenna, retether cargo crane to free Kvant-2 solar array"
298,Russia,Anatoly Solovyev     Nikola Budarin,Soyuz TM-20      Mir 19,07/19/1995,3:06,"Recover TREK.  Install Komplast.  Recover SKK-4, SKK-12, Platan, Stuk.  H2O cooling problem on one suit prevented Miras installation"
299,Russia,Anatoly Solovyev     Nikola Budarin,Soyuz TM-20      Mir 19,07/21/1995,5:44,"Deploy Miras, shake Spektr solar array to attempt deploy of end panel.  Resecure amateur radio antenna.  Open Elektron O2 system valve"
300,Russia,Sergei Avdeyev      Thomas Reiter,Soyuz TM-X     Mir 20,,5:16,Deploy ESEF materials experiment and replace Komza cassettes on Spektr
301,Russia,Sergei Avdeyev            Yuri Gidzenko,Soyuz TM-X     Mir 20,,0:32,Move base block docking port as prep for Priroda docking
302,Russia,Yuri Gidzenko            Thomas Reiter,Soyuz TM-X     Mir 20,,3:06,Retrieve ESEF sample cassettes from Spektr.   Relocate MMU to stow site on Kvant-2 exterior
303,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,,5:51,Deploy second cargo crane.  Prepare solar array install site on Kvant-1
304,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,05/21/1996,5:20,Relocate cooperative array from DM to Kvant-1.  Pepsi mockup photography
305,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,05/24/1996,5:43,Install 1/2 of cooperative array cables on Kvant1
306,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,05/30/1996,4:20,Deploy MOMS experiment on Priroda.  Open exp covers
307,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,06/06/1996,3:34,Deploy U.S. PIE/MSRE experiments on Kvant-2.  Replace Komza cassettes.  Install SKK-11.  Pepsi mockup photography 
308,Russia,Yuri Onufrenko           Yuri Usachev,Soyuz TM-23     Mir 21,06/13/1996,5:42,Manually assist Priroda Travers antenna.  Tighten Sofora truss fasteners.  Retrieve samples and secure Rapana truss to Sofora.  Install and deploy Ferma-3 truss experiment
309,Russia,Valery Korzun            Alexander Kaleri,Soyuz TM-24       Mir 22,,5:57,Install last 1/2 of cables for cooperative array on Kvant-1.  Connect solar array power cables on base block.  Relocate Rapana truss to Ferma-3 truss
310,Russia,Valery Korzun            Alexander Kaleri,Soyuz TM-24       Mir 22,,6:36,Install Kurs antenna on docking module (including routing/mating cable to Kristall).  Tighten connector of amateur radio antenna on base block
311,Russia,Valeri Tsibliev            Jerry Linenger,Soyuz TM-25       Mir 23,04/29/1997,4:57,Deploy OPM and TLD/Benton dosimeters.  Retrieve PIE and MSRE.  Use U.S. EVA tether and 35mm camera.  First use of new Orlan M suits
312,Russia,Anatoly Solovyev        Pavel Vinogradov,Soyuz TM-26      Mir 24,08/21/1997,5:30,Connect solar array power cables inside Spektr.  Inspect Spektr interior for leaks.  Retrieve science and personal hardware from Spektr.
313,Russia,Anatoly Solovyev     Mike Foale,Soyuz TM-26      Mir 24,09/06/1997,6:00,Inspect Spektr exterior for leak sites (video under radiator and measure gap around solar array base).  Rotate 2 Spektr solar arrays.  Retrieve Benton dosimeter.
314,Russia,Anatoly Solovyev     Pavel Vinogradov,Soyuz TM-26      Mir 24,10/20/1997,6:10,Connect 2 of 3 solar array orientation cables inside Spektr.  
315,Russia,Anatoly Solovyev     Pavel Vinogradov,Soyuz TM-26      Mir 24,11/03/1997,6:05,Release Sputnik anniversary satellite.  Tiedown old solar array from Kvant-1 to base block.  Install Vozduk CO2 system external cap.  Retrieve base block solar array sample.  Retrieve/deploy Kvant-2 science.  Kvant-2 outer hatch leaks.  Ingress via backup airlock.
316,Russia,Anatoly Solovyev     Pavel Vinogradov,Soyuz TM-26      Mir 24,11/06/1997,6:19,Transfer new solar array from docking module to Kvant-1.  First handoff of stowed array from one crane to second.  Remove Vozduk external cap and install outlet diffuser.  Kvant-2 outer hatch inspected then sealed with aid of backup bolts.
317,Russia,Anatoly Solovyev     Pavel Vinogradov,Soyuz TM-26      Mir 24,01/09/1998,3:06,"Retrieve U.S. OPM experiment from docking module.  Kvant-2 hatch inspected, videotaped and bolted closed.  "
318,Russia,Anatoly Solovyev     Dave Wolf,Soyuz TM-26      Mir 24,01/14/1998,3:52,Use SPSR experiment on Kvant-2 radiator.  Kvant-2 airlock hatch inspected and bolted closed
319,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,03/03/1998,0:00,Manual wrenches inadequate to release hatch bolts.  Spektr solar array reinforcement deferred.
320,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,04/01/1998,6:26,Install handrails and foot restraints on Spektr around damaged solar array.  
321,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,04/06/1998,4:23,Reinforce Spektr solar array.  Retrieve Komza 
322,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,04/11/1998,6:25,Jettison VDU roll thruster package from Sofora top
323,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,04/17/1998,6:33,Prepare new VDU for Sofora mating.  Clear Ferma-3 & Rapana trusses.  Tighten Sofora bolts
324,Russia,Talgat Musabeyev     Nikola Budarin,Soyuz TM-27     Mir 25,04/22/1998,6:21,Install new VDU on Sofora and erect to vertical pos.  Jettison of ???????
325,Russia,G. Padelka                     Sergei Avdeyev,Soyuz TM-28           Mir 26,09/15/1998,0:30,Internal EVA inside Spektr to connect solar array orientation cable in response to avionics failure.
326,Russia,G. Padelka                     Sergei Avdeyev,Soyuz TM-28           Mir 26,11/10/1998,5:50,"Manual launch of Sputnik demo satellite.  Install Dvikon suit material exposure experiment on base block Igla antenna.  Retrieve bagged sample after thruster exhaust exposure.  Attach and deploy experimental solar array on docking module trunnion.  Replace thermal blanket over pwr connectors.  Retrieve  Keramika, Danko, Solyaris and SMMK experiments.  Deploy Komet, Spika, Migmas and Sprut experiments on Kvant2."
327,Russia,Victor Afanasyev                  Jean-Pierre Heignere,Soyuz TM-29           Mir 27,04/16/1999,6:19,Attempted demo of leak repair device failed due to valve failure.  Deployed organic material exposure experiment and retrieved French MMOD experiment.  Manual launch of Sputnik demo satellite.  
328,Russia,Victor Afanasyev                   Sergei Avdeyev,Soyuz TM-29           Mir 27,07/23/1999,6:07,Installed a new experimental 6-meter diameter antenna on Sofora truss but failed to deploy it fully.  Unsuccessfully sought source of small leak in Kvant-2 atmosphere.  Retrieved the Exobiology and Dvikon experiments.  
329,Russia,Victor Afanasyev                   Sergei Avdeyev,Soyuz TM-29           Mir 27,07/28/1999,5:22,"Finished full deploy of an experimental 6-meter antenna on Sofora truss.  At the end of the experiment the antenna was jettisoned.  Also installed experiments Indicator and Sprut-4, changed the cassettes of the Migmas ion spectrometer and retrieved Danko-M and Ekran-D experiments.  Problem with suit cooling ended EVA."
330,Russia,Sergei Zaletin      Alexander Kaleri,Soyuz TM-30    Mir 28,05/12/2000,5:30,Inspected and photographed short circuit damaged solar array cable on Kvant-1.  Tested module leak repair sealant on sample panel.  Retrieved a solar array test sample from the docking module.  Conducted general inspection/photography of health of Mir exterior (panorama)
331,Russia,Yuri Usachev                  Jim Voss,ISS Incr-2,06/08/2001,0:19,Relocated SM docking port as prep for DC1 docking.  Tested Orlan suits launched with SM.
332,Russia,Vladimir Dezhurov     Mikhail Tyurin,ISS Incr-3,10/08/2001,4:58,"First EVA from DC-1.  Installed Tranzit-B cable for EVA radio communications between the SM and DC-1.  Installed 4 hatch handrails, egress/ingress ladder, MLI, video camera and Strela crane operator post/boom on DC-1.  Installed Kurs antennas and docking target.  Confirmed deployment of 4 Kurs active antennas.  As planned, jettisoned MLI covers from DC-1 docking target and Kurs antenna.  Small drops of thruster contamination seen on MLI.  Suit gloves inspected, wiped down and bagged post EVA.   "
333,Russia,Vladimir Dezhurov     Mikhail Tyurin,ISS Incr-3,10/15/2001,5:52,Installed Kromka at SM port location.  Installed Japanese contracted MPAC-SEEDS materials experiments (3) on outside of SM.  Replaced Russian flag placard with Kodak sign (material durability tests).  EVA hatch was briefly stuck in temp stow position.  Orlan gloves bagged post EVA.
334,Russia,Vladimir Dezhurov     Frank Culbertson,ISS Incr-3,11/12/2001,5:04,DC1-SM hatch leaked during initial depress.  Wipe of seals and reclosure resolved leak (30 minute delay).  Connected Kurs cables (4 hi freq and 3 low freq) outside Pirs DC-1.   Installed tether between DC1 egress ladder and SM.  Completed checks of the Strela crane.  Inspected and photographed a partially deployed panel of SM solar array.
335,Russia,Vladimir Dezhurov     Mikhail Tyurin,ISS Incr-3,12/03/2001,2:46,Removed debris on SM aft port that prevented Progress vehicle #6 from completing hard dock.  Photoed and removed Progress #5 seal debris.
336,Russia,Yri Onufrienko            Carl Walz,ISS Incr-4,01/14/2002,6:03,Relocated a cargo boom for the Russian Strela crane from PMA-1 to Pirs DC-1.  Installed amateur radio antenna WA3 and cables onto the aft of SM.  Jettisoned gloves and wiping towels?
337,Russia,Yuri Onufrienko              Dan Bursch,ISS Incr-4,01/25/2002,5:59,Installed 6 thruster deflector shields on SM.  Installed an amateur radio antenna (WA4) and retrieved/ replaced Kromka device to measure thruster deposits.  Installed 1 Platan-M radiation experiment and 3 SKK materials experiments.
338,Russia,Valery Korzun             Peggy Whitson,ISS Incr-5,08/16/2002,4:25,EVA delayed 1:43 due to missed opening of primary O2 bottles in both suits.  Removed 6 MMOD shield panels from PMA-1 and installed them on SM.  Deferred EVA tasks for swab of fuel/oxidizer residue and installation of Kromka experiment.  
339,Russia,Valery Korzun         Sergei Treschev,ISS Incr-5,08/26/2002,5:21,Installed ORU attachment frame outside FGB to house components for EVA assembly tasks.  Retrieved and replaced panel #1 of Japan's MPAC/SEEDs materials experiments outside SM.  Installed 4 fairleads on FGB for future routing of tethers.  Added two ham radio antennas on SM (WA1 & WA2).  Replaced the earlier deferred Kromka hardware.  Inspected MMOD sensor outside SM.
357,Russia,Yuri Lonchakov         Mike Fincke,ISS Incr-18,03/10/2009,4:48,Cut off excess length of fabric straps near DC1 antennas and docking target.  Reinstalled EXPOSE-R experiment and adjusted orientation of SKK experiment panel.  Closed thermal insulation flap over electrical connector panel.  Photographed external hardware
340,Russia,Alexander Kaleri         Mike Foale,ISS Incr-8,02/26/2004,3:55,"Replaced an SKK removable materials sample cassette from DC-1.  Retrieved Japanese MPAC/SEEDS panel #2 and relocated MPAC/SEEDS panel #3.  Installed ESA ""Matryoshka"" experiment.  Removed two Velcro straps from the SM's WA2 ham radio antenna.  Replaced two SKK removable materials sample cassettes on SM.  Suit cooling system failure ended work 1.5 hours early.   Did not retrieve/relocate ATV reflectors for ESA, retrieve/install Kromka thruster contamination sampling tray, reconfigure the ""Platan-M"" payload experiment or photograph external structures.  "
341,Russia,Gennady Padalka      Mike Fincke,ISS Incr-9,06/24/2004,0:14,Fincke's Orlan O2 injector lever not in fully closed position.  EVA attempt terminated early.
342,Russia,Gennady Padalka      Mike Fincke,ISS Incr-9,06/30/2004,5:39,"Replaced RPCM on SO truss for CMG #2 after extending and translating along Strela crane.  Completed getahead tasks on DC1 (contamination sensor, fabric handrails, 2 handrail end stops)"
343,Russia,Gennady Padalka      Mike Fincke,ISS Incr-9,08/03/2004,4:30,"Installed 2 ATV antennas.  Removed 6 ATV laser reflectors and installed 3 new reflectors.  Demated cable from failed ATV camera.  Replaced several experiments (Kromka thruster contam, CKK material exposure, Platan-M cosmic rays).  Installed 2 handrail end stops on DC1 aft hatch"
344,Russia,Gennady Padalka      Mike Fincke,ISS Incr-9,09/03/2004,5:21,"Replaced FGB thermal system fluid control unit.  Installed 4 safety tether fairleads on FGB.  Stopped motion to aid test for phantom torque upon CMGs.  Installed 3 ATV antennas on SM and removed 5 antenna covers.  Installed 3 of 4 handrail end stops on DC1 fwd hatch.  Photographed MPAC/SEEDS experiment.  Jettisoned antenna covers, glove wipe towels & container with old FGB ORU (~ 10 items)"
345,Russia,Leroy Chiao            Salizhan Sharipov,ISS Incr-10,01/26/2005,5:28,"Installed science workstation and German Rokviss robotic experiment on SM.  Transfered MPAC/SEEDs experiment panel to new location on same stand.  Installed Rokviss antenna on MPAC/SEEDs mounting structure (cable reconnection due to initial mating error).  Photoed contamination on vent valves of Elektron, Vozdukh and trace gas system to aid MCC-M troubleshooting.  Installed BioRisk experiment on DC1.  19 items jettisoned (elec caps, glove wipes)"
